Poll,Date,Sample,MoE,Perdue (R),Ossoff (D),Spread
RCPÂ Average,10/8 - 10/23,--,--,46.2,45.5,Perdue +0.7
CBS News/YouGovCBS News,10/20 - 10/23,1090 LV,3.4,47,46,Perdue +1
WSB-TV/LandmarkWSB-TV,10/21 - 10/21,500 LV,4.4,50,45,Perdue +5
EmersonEmerson,10/17 - 10/19,506 LV,4.3,46,45,Perdue +1
NY Times/Siena*NYT/Siena*,10/13 - 10/19,759 LV,4.1,43,43,Tie
WXIA-TV/SurveyUSAWXIA/SUSA,10/8 - 10/12,677 LV,5.7,46,43,Perdue +3
QuinnipiacQuinnipiac,10/8 - 10/12,1040 LV,3.0,45,51,Ossoff +6
PPP (D)*PPP (D)*,10/8 - 10/9,528 LV,4.3,43,44,Ossoff +1
WSB-TV/Landmark*WSB-TV*,10/7 - 10/7,600 LV,4.0,47,46,Perdue +1
Atlanta Journal-Constitution*AJC*,9/27 - 10/6,1106 LV,2.9,49,41,Perdue +8
QuinnipiacQuinnipiac,9/23 - 9/27,1125 LV,2.9,48,49,Ossoff +1
CBS News/YouGovCBS News,9/22 - 9/25,1142 LV,3.4,47,42,Perdue +5
Monmouth*Monmouth*,9/17 - 9/21,402 LV,4.9,48,43,Perdue +5
NY Times/Siena*NYT/Siena*,9/16 - 9/21,523 LV,4.9,41,38,Perdue +3
Univ. of Georgia*U. of GA*,9/11 - 9/20,1150 LV,4.0,47,45,Perdue +2
WXIA-TV/SurveyUSAWXIA/SUSA,8/6 - 8/8,623 LV,5.3,44,41,Perdue +3
CBS News/YouGovCBS News,7/28 - 7/31,1109 LV,--,45,43,Perdue +2
Monmouth*Monmouth*,7/23 - 7/27,402 LV,4.9,50,43,Perdue +7
OAN/GravisGravis,7/2 - 7/2,513 RV,4.3,48,43,Perdue +5
FOX NewsFOX News,6/20 - 6/23,1013 RV,3.0,45,42,Perdue +3
