Poll,Date,Sample,MoE,Peters (D),James (R),Spread
RCPÂ Average,10/11 - 10/20,--,--,48.6,43.4,Peters +5.2
FOX NewsFOX News,10/17 - 10/20,1032 LV,3.0,49,41,Peters +8
Reuters/IpsosReuters,10/14 - 10/20,686 LV,4.3,50,45,Peters +5
MIRS/Mitchell ResearchMIRS,10/18 - 10/18,900 LV,3.3,49,43,Peters +6
CNBC/Change Research (D)CNBC,10/16 - 10/19,LV,--,50,45,Peters +5
EPIC-MRAEPIC-MRA,10/15 - 10/19,600 LV,4.0,45,39,Peters +6
The Hill/HarrisXThe Hill,10/12 - 10/15,1289 LV,--,50,43,Peters +7
Trafalgar Group (R)Trafalgar,10/11 - 10/15,1018 LV,3.0,47,48,James +1
EPIC-MRAEPIC-MRA,10/8 - 10/12,600 LV,4.0,45,39,Peters +6
Reuters/IpsosReuters,10/7 - 10/13,620 LV,4.5,52,44,Peters +8
NY Times/Siena*NYT/Siena*,10/6 - 10/11,614 LV,4.6,43,42,Peters +1
CBS News/YouGovCBS News,10/6 - 10/9,1190 LV,3.3,47,44,Peters +3
EmersonEmerson,10/6 - 10/7,716 LV,3.6,51,41,Peters +10
CNBC/Change Research (D)CNBC,10/2 - 10/4,676 LV,--,51,43,Peters +8
Reuters/IpsosReuters,9/29 - 10/6,709 LV,4.0,50,43,Peters +7
Detroit News/WDIV-TVDetroit News,9/30 - 10/3,600 LV,4.0,45,40,Peters +5
Trafalgar Group (R)Trafalgar,9/23 - 9/25,1047 LV,3.0,47,47,Tie
NBC News/MaristNBC/Marist,9/19 - 9/22,799 LV,4.3,49,44,Peters +5
CNBC/Change Research (D)CNBC,9/18 - 9/20,568 LV,--,50,44,Peters +6
MRGMRG,9/14 - 9/19,600 LV,4.0,42,40,Peters +2
Reuters/IpsosReuters,9/11 - 9/16,637 LV,4.4,49,43,Peters +6
EPIC-MRAEPIC-MRA,9/10 - 9/15,600 LV,4.0,45,41,Peters +4
CNBC/Change Research (D)CNBC,9/4 - 9/6,876 LV,--,50,46,Peters +4
Rasmussen ReportsRasmussen,9/2 - 9/3,1000 LV,3.0,48,40,Peters +8
Detroit News/WDIV-TVDetroit News,9/1 - 9/3,600 LV,4.0,44,41,Peters +3
Trafalgar Group (R)Trafalgar,8/14 - 8/23,1048 LV,3.0,47,48,James +1
CNBC/Change Research (D)CNBC,8/21 - 8/23,809 LV,--,50,45,Peters +5
CNBC/Change Research (D)CNBC,8/7 - 8/9,413 LV,--,48,45,Peters +3
EPIC-MRAEPIC-MRA,7/25 - 7/30,600 LV,4.0,50,40,Peters +10
CNBC/Change Research (D)CNBC,7/24 - 7/26,413 LV,--,48,44,Peters +4
GravisGravis,7/22 - 7/22,754 RV,3.6,49,39,Peters +10
CNNCNN,7/18 - 7/24,927 RV,3.8,54,38,Peters +16
MRGMRG,7/19 - 7/21,600 LV,4.0,41,34,Peters +7
FOX NewsFOX News,7/18 - 7/20,756 RV,3.5,48,38,Peters +10
CNBC/Change Research (D)CNBC,7/10 - 7/12,824 LV,--,50,43,Peters +7
CNBC/Change Research (D)CNBC,6/26 - 6/28,699 LV,--,49,42,Peters +7
MRGMRG,6/12 - 6/15,600 LV,4.0,36,30,Peters +6
NY Times/SienaNYT/Siena,6/8 - 6/17,610 RV,4.3,41,31,Peters +10
TIPPTIPP,6/9 - 6/12,859 LV,--,47,35,Peters +12
EPIC-MRAEPIC-MRA,5/30 - 6/3,600 LV,4.0,51,36,Peters +15
Change Research (D)Change Res.,5/11 - 5/17,3070 LV,1.9,48,43,Peters +5
FOX NewsFOX News,4/18 - 4/21,801 RV,3.5,46,36,Peters +10
MRGMRG,3/16 - 3/20,600 LV,4.0,42,35,Peters +7
QuinnipiacQuinnipiac,2/12 - 2/18,845 RV,3.4,45,39,Peters +6
Detroit News/WDIV-TVDetroit News,1/3 - 1/7,600 LV,4.0,44,40,Peters +4
EmersonEmerson,10/31 - 11/3,1051 RV,3.0,46,40,Peters +6
MRGMRG,10/7 - 10/10,600 LV,5.0,43,40,Peters +3
Target-Insyght/MIRSTarget-Insyght/MIRS,9/24 - 9/26,804 RV,3.5,53,37,Peters +16
EmersonEmerson,3/7 - 3/10,743 RV,3.5,44,43,Peters +1
