Poll,Date,Sample,MoE,Smith (D),Lewis (R),Spread
RCPÂ Average,9/20 - 10/20,--,--,46.3,40.5,Smith +5.8
KSTP/SurveyUSAKSTP-TV,10/16 - 10/20,625 LV,5.0,43,42,Smith +1
MinnPost*MinnPost*,10/12 - 10/15,1021 LV,3.1,48,44,Smith +4
KAAL-TV/SurveyUSAKAAL-TV,10/1 - 10/6,929 LV,3.9,44,37,Smith +7
Star Tribune/Mason-DixonStar Tribune,9/21 - 9/23,800 LV,3.5,49,41,Smith +8
USA Today/Suffolk*USA Today*,9/20 - 9/24,500 LV,4.4,45,35,Smith +10
CBS News/YouGovCBS News,9/9 - 9/11,1087 LV,--,47,40,Smith +7
NY Times/SienaNYT/Siena,9/8 - 9/10,814 LV,3.9,49,40,Smith +9
KSTP/SurveyUSAKSTP-TV,9/4 - 9/7,553 LV,5.2,47,36,Smith +11
PPP (D)PPP (D),9/3 - 9/4,877 RV,3.3,49,41,Smith +8
EmersonEmerson,8/8 - 8/10,733 RV,3.6,48,45,Smith +3
