Poll,Date,Sample,Shaheen (D),Messner (R),Spread
RCPÂ Average,9/17 - 10/12,--,54.0,38.4,Shaheen +15.6
UNH*UNH*,10/9 - 10/12,899 LV,55,40,Shaheen +15
Boston Globe/Suffolk*Boston Globe*,10/8 - 10/12,500 LV,51,36,Shaheen +15
St. Anselm*St. Anselm*,10/1 - 10/4,1147 LV,53,39,Shaheen +14
EmersonEmerson,9/30 - 10/1,700 LV,55,40,Shaheen +15
UNH*UNH*,9/24 - 9/28,972 LV,54,41,Shaheen +13
UMass LowellUMLowell,9/17 - 9/25,657 LV,56,37,Shaheen +19
UNH*UNH*,8/28 - 9/1,1889 LV,54,36,Shaheen +18
UNHUNH,7/16 - 7/28,1893 LV,54,35,Shaheen +19
UNHUNH,6/18 - 6/22,932 LV,50,37,Shaheen +13
UNHUNH,5/14 - 5/18,788 LV,50,34,Shaheen +16
UNHUNH,2/19 - 2/25,576 RV,52,28,Shaheen +24
